imageFileName,imageStem,imagePath,fileSizeBytes,fileHash,duplicateGroupSize
1020.jpg,1020,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1020.jpg,32243,9775e764f14f14055d7d92434906edd2e2bbc38a754f7c93b02cfc7499b8fb51,1
1021.jpg,1021,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1021.jpg,77123,40e7df73a10a37fd970f7d74d03127dccab13a0ed4b7c3448768fadac064faef,1
1022.jpg,1022,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1022.jpg,66269,ba3273ca767e645de5e6a6191512b19d2b0345168444a30e88457fa6081ca804,1
1023.jpg,1023,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1023.jpg,67898,61237f713c7020822989ba09430872c1a797b80b558f8cfb13a908c091e38db7,1
1024.jpg,1024,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1024.jpg,72382,e1f84c21a1e9ad9733bd635c01c6fc6bc8c3ace93d15491ac5e498d6adc53d46,1
1025.jpg,1025,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1025.jpg,75792,5c605c1f8933150ea83cf20ab4134e0a765df0c08323cc5bf5ebd0cc93f1d58d,1
1026.jpg,1026,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1026.jpg,75297,9cbe2e864924ce51e436c8515dfc1bf8f2884ab4fb4e05765af760ccc682780f,1
1027.jpg,1027,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1027.jpg,52495,ef079af9df6d6732f53cddea9f1ea038057efb1014d259e1a1b52874596c5bd8,1
1028.jpg,1028,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1028.jpg,23633,ec33fa4e5994843df317e91ee57502af4ec22c1069307fd67ecd6f1ede5669c8,1
1029.jpg,1029,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/1029.jpg,72811,c4f9859293309adfe3eb892b56369e40bd9b860598e83b4bc6ad6149ff963059,1
