split,loss,accuracy,macroPrecision,macroRecall,macroF1,weightedPrecision,weightedRecall,weightedF1
train,0.11658195348468388,0.9690063810391978,0.9711744322429955,0.9747698016244716,0.9727499025361853,0.9694076475456501,0.9690063810391978,0.9689557031467948
val,0.5775572082826069,0.8612244897959184,0.8309733078025761,0.843692117556988,0.8366118467051621,0.8638777880490176,0.8612244897959184,0.8621886906365276
test,0.39405345378302725,0.8613445378151261,0.8476519664301536,0.8696842928365944,0.8559829821005925,0.8660549994688301,0.8613445378151261,0.8621682499071112
