metricName,trainValue,valValue,testValue
accuracy,0.9854147675478578,0.7224489795918367,0.7436974789915967
macroPrecision,0.988471343771043,0.6954447261857802,0.7647395995435211
macroRecall,0.987679366515409,0.7058063084323578,0.7581523701987525
macroF1,0.9879934274926058,0.6956552902772711,0.7604740590755353
weightedF1,0.9854929883285143,0.7246843285827808,0.7429725514027877
