split,loss,accuracy,macroPrecision,macroRecall,macroF1,weightedPrecision,weightedRecall,weightedF1
train,0.07640949531934592,0.97538742023701,0.9786732737656186,0.9790232989811258,0.9787398596934634,0.9755081077619384,0.97538742023701,0.9753364293020336
val,0.9763203606313589,0.8,0.7845078024956074,0.7932426004875833,0.7878192204730842,0.8016845532101877,0.8,0.7999682570471114
test,0.859168006592438,0.7857142857142857,0.8026611326786313,0.8009724902062648,0.7989658111433257,0.7915862036473992,0.7857142857142857,0.7853169291753465
